PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Secuencial de Hogar,"Del total de cuartos de este hogar, Cuantos son exclusivos para dormir",Ningun Dormitorio,Tiene este hogar cuarto o espacio exclusivo para cocinar,El servicio higiénico o escusado que dispone el hogar es,Dispone este hogar de espacio con instalaciones y/o ducha para bañarse,Cual es el principal combustible o energía que utiliza este hogar para cocinar,"Principalmente, el agua que toman los miembros del hogar",Dispone este hogar de servicio de telefono convencional,Algun miembro de este hogar dispone de servicio de telefono celular,Dispone este hogar de servicio de internet,Dispone este hogar de computadora,Dispone este hogar de servicio de televisión por cable,Cuanto fue el último pago que realizó el hogar por concepto de luz eléctrica,No paga la luz electrica,Algún miembro de este hogar se traslada fuera de esta ciudad o parroquia rural para trabajar,Cuantos se trasladan fuera de esta ciudad o parroquia para trabajar,Algún miembro de este hogar se traslada fuera de esta ciudad o parroquia rural para estudiar,Cuantos se trasladan fuera de la ciudad o parroquia rural para estudiar,La vivienda que ocupa este hogar es,"Durante el año 2010, Alguna persona de este hogar recibió dinero por parte de familiares o amigos que viven en el exterior",A partir del último censo de población y vivienda(Noviembre 2001) una o mas personas que vivían en este hogar viajaron a otro pais y todavia no regresan para quedarse definitivamente,Cuantos personas viajaron al Exterior,Total_Personas,Total_Hombres,Total_Mujeres,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Napo,01,53,999,016,05,001,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,8,2,6,15015399901605,15015399901605001,150153999016050011,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,002,1,Area rural,Hogar 1,0,0,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,8,2,6,15015399901605,15015399901605002,150153999016050021,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,003,1,Area rural,Hogar 1,3 dormitorios,#NULL !,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",La hierven,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y la está pagando,No,No,#NULL !,2,1,1,15015399901605,15015399901605003,150153999016050031,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,004,1,Area rural,Hogar 1,0,0,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",Le ponen cloro,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,7,4,3,15015399901605,15015399901605004,150153999016050041,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,005,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,No tiene,No tiene,"Leña, carbón",Le ponen cloro,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,5,4,1,15015399901605,15015399901605005,150153999016050051,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,006,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,No tiene,No tiene,"Leña, carbón",Le ponen cloro,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,8,6,2,15015399901605,15015399901605006,150153999016050061,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,007,1,Area rural,Hogar 1,3 dormitorios,#NULL !,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",La hierven,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,1,1,0,15015399901605,15015399901605007,150153999016050071,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,008,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,3,2,1,15015399901605,15015399901605008,150153999016050081,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,009,1,Area rural,Hogar 1,3 dormitorios,#NULL !,No,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,5,4,1,15015399901605,15015399901605009,150153999016050091,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,010,1,Area rural,Hogar 1,1 dormitorio,#NULL !,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",Le ponen cloro,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,1,1,0,15015399901605,15015399901605010,150153999016050101,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,011,1,Area rural,Hogar 1,3 dormitorios,#NULL !,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,10,5,5,15015399901605,15015399901605011,150153999016050111,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,012,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,2,2,0,15015399901605,15015399901605012,150153999016050121,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,013,1,Area rural,Hogar 1,4 dormitorios,#NULL !,No,Compartido con varios hogares,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,8,6,2,15015399901605,15015399901605013,150153999016050131,NAPO,TENA,CHONTAPUNTA,150153999016
Orellana,01,51,999,001,01,001,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La hierven,No,No,No,No,No,2,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,1,1,0,22015199900101,22015199900101001,220151999001010011,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,01,002,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,2,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,2,1,1,22015199900101,22015199900101002,220151999001010021,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,01,003,1,Area rural,Hogar 1,4 dormitorios,#NULL !,Si,No tiene,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,3,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,8,4,4,22015199900101,22015199900101003,220151999001010031,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,01,005,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",La hierven,No,Si,No,No,No,39,#NULL !,Si,1,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,1,1,0,22015199900101,22015199900101005,220151999001010051,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,01,006,1,Area rural,Hogar 1,4 dormitorios,#NULL !,Si,No tiene,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,3,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,6,4,2,22015199900101,22015199900101006,220151999001010061,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,001,1,Area rural,Hogar 1,3 dormitorios,#NULL !,Si,De uso exclusivo del hogar,De uso exclusivo del hogar,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,3,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,4,1,3,22015199900102,22015199900102001,220151999001020011,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,002,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,Si,No,No,No,5,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,9,6,3,22015199900102,22015199900102002,220151999001020021,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,003,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,7,#NULL !,No,#NULL !,No,#NULL !,Arrendada,No,No,#NULL !,6,2,4,22015199900102,22015199900102003,220151999001020031,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,004,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,8,#NULL !,Si,1,Si,1,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,5,1,4,22015199900102,22015199900102004,220151999001020041,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,005,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,De uso exclusivo del hogar,De uso exclusivo del hogar,Gas (tanque o cilindro),La hierven,No,No,No,No,No,4,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,2,1,1,22015199900102,22015199900102005,220151999001020051,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,007,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,3,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,9,4,5,22015199900102,22015199900102007,220151999001020071,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,008,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,3,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,2,2,0,22015199900102,22015199900102008,220151999001020081,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,009,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,De uso exclusivo del hogar,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,1,1,0,22015199900102,22015199900102009,220151999001020091,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,011,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La hierven,No,Si,No,No,No,7,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,3,2,1,22015199900102,22015199900102011,220151999001020111,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,013,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,No tiene,No tiene,Gas (tanque o cilindro),Le ponen cloro,No,Si,No,No,No,2,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,1,1,0,22015199900102,22015199900102013,220151999001020131,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,015,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,No tiene,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,1,1,0,22015199900102,22015199900102015,220151999001020151,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,016,1,Area rural,Hogar 1,3 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,No,No,No,No,3,#NULL !,Si,1,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,3,2,1,22015199900102,22015199900102016,220151999001020161,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,017,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,5,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,5,2,3,22015199900102,22015199900102017,220151999001020171,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,018,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,"Leña, carbón",Le ponen cloro,No,Si,No,No,No,2,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,4,2,2,22015199900102,22015199900102018,220151999001020181,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,021,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,No tiene,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,No,No,No,No,5,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,5,3,2,22015199900102,22015199900102021,220151999001020211,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,022,1,Area rural,Hogar 1,7 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,7,#NULL !,Si,1,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,4,1,3,22015199900102,22015199900102022,220151999001020221,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,023,1,Area rural,Hogar 1,4 dormitorios,#NULL !,Si,Compartido con varios hogares,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,Si,No,7,#NULL !,No,#NULL !,Si,1,Propia y totalmente pagada,No,No,#NULL !,4,1,3,22015199900102,22015199900102023,220151999001020231,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,024,1,Area rural,Hogar 1,1 dormitorio,#NULL !,No,No tiene,No tiene,Gas (tanque o cilindro),La hierven,No,No,No,No,No,#NULL !,2,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,2,1,1,22015199900102,22015199900102024,220151999001020241,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,025,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,6,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,4,3,1,22015199900102,22015199900102025,220151999001020251,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,026,1,Area rural,Hogar 1,3 dormitorios,#NULL !,No,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La hierven,No,Si,No,No,No,5,#NULL !,No,#NULL !,Si,2,Propia y totalmente pagada,No,No,#NULL !,5,3,2,22015199900102,22015199900102026,220151999001020261,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,027,1,Area rural,Hogar 1,5 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La hierven,No,Si,No,Si,No,8,#NULL !,No,#NULL !,Si,3,Propia y totalmente pagada,No,No,#NULL !,10,5,5,22015199900102,22015199900102027,220151999001020271,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,028,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,No,No,No,No,3,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,1,1,0,22015199900102,22015199900102028,220151999001020281,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,03,001,1,Area rural,Hogar 1,4 dormitorios,#NULL !,Si,No tiene,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,7,5,2,22015199900103,22015199900103001,220151999001030011,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,03,002,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,3,2,1,22015199900103,22015199900103002,220151999001030021,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,03,004,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,2,1,1,22015199900103,22015199900103004,220151999001030041,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,03,005,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,No tiene,No tiene,Gas (tanque o cilindro),La hierven,No,Si,No,Si,No,#NULL !,#NULL !,No,#NULL !,Si,1,Por servicios,No,No,#NULL !,2,2,0,22015199900103,22015199900103005,220151999001030051,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,04,001,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,De uso exclusivo del hogar,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,6,2,4,22015199900104,22015199900104001,220151999001040011,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,04,002,1,Area rural,Hogar 1,0,0,Si,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,7,5,2,22015199900104,22015199900104002,220151999001040021,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,04,003,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,1,1,0,22015199900104,22015199900104003,220151999001040031,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,04,004,1,Area rural,Hogar 1,1 dormitorio,#NULL !,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",Le ponen cloro,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Prestada o cedida (no pagada),No,No,#NULL !,6,4,2,22015199900104,22015199900104004,220151999001040041,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,04,005,1,Area rural,Hogar 1,2 dormitorios,#NULL !,No,De uso exclusivo del hogar,No tiene,"Leña, carbón",La hierven,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,6,3,3,22015199900104,22015199900104005,220151999001040051,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,05,003,1,Area rural,Hogar 1,1 dormitorio,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,2,#NULL !,No,#NULL !,Si,3,Propia y totalmente pagada,No,No,#NULL !,7,3,4,22015199900105,22015199900105003,220151999001050031,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,05,004,1,Area rural,Hogar 1,4 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La beben tal como llega al hogar,No,Si,No,No,No,3,#NULL !,No,#NULL !,Si,3,Propia y totalmente pagada,No,No,#NULL !,7,3,4,22015199900105,22015199900105004,220151999001050041,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,06,004,1,Area rural,Hogar 1,2 dormitorios,#NULL !,Si,No tiene,No tiene,"Leña, carbón",La beben tal como llega al hogar,No,No,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,"Propia (regalada, donada, heredada o por posesión)",No,No,#NULL !,4,2,2,22015199900106,22015199900106004,220151999001060041,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,06,007,1,Area rural,Hogar 1,3 dormitorios,#NULL !,Si,De uso exclusivo del hogar,No tiene,Gas (tanque o cilindro),La hierven,No,Si,No,No,No,#NULL !,#NULL !,No,#NULL !,No,#NULL !,Propia y totalmente pagada,No,No,#NULL !,9,8,1,22015199900106,22015199900106007,220151999001060071,ORELLANA,ORELLANA,DAYUMA,220151999001
