PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",Cuantos grupos de personas(hogares) duermen en su vivienda y cocinan los alimentos por separado incluya su hogar,nro_hogares,Total de personas de la vivienda,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,sec_id,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,Total_Personas
Orellana,01,51,999,006,01,074,1,Area rural,Rancho,Calle o carretera empedrada,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900601,220151999006,22015199900601074,220151999006010741,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,006,01,080,1,Area rural,Choza,Calle o carretera empedrada,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900601,220151999006,22015199900601080,220151999006010801,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,006,01,083,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900601,220151999006,22015199900601083,220151999006010831,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,006,01,086,1,Area rural,Choza,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900601,220151999006,22015199900601086,220151999006010861,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,007,02,022,1,Area rural,Rancho,Calle o carretera empedrada,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900702,220151999007,22015199900702022,220151999007020221,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,008,01,012,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900801,220151999008,22015199900801012,220151999008010121,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,008,01,025,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900801,220151999008,22015199900801025,220151999008010251,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,008,01,035,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900801,220151999008,22015199900801035,220151999008010351,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,008,02,027,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900802,220151999008,22015199900802027,220151999008020271,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,008,02,049,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900802,220151999008,22015199900802049,220151999008020491,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,008,02,051,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199900802,220151999008,22015199900802051,220151999008020511,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,010,02,013,1,Area rural,Rancho,"Camino, sendero, chaquiñan",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901002,220151999010,22015199901002013,220151999010020131,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,012,01,010,1,Area rural,Rancho,"Camino, sendero, chaquiñan",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901201,220151999012,22015199901201010,220151999012010101,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,012,01,035,1,Area rural,Rancho,"Camino, sendero, chaquiñan",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901201,220151999012,22015199901201035,220151999012010351,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,012,02,001,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901202,220151999012,22015199901202001,220151999012020011,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,012,02,010,1,Area rural,Rancho,Calle o carretera empedrada,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901202,220151999012,22015199901202010,220151999012020101,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,013,01,021,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901301,220151999013,22015199901301021,220151999013010211,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,013,03,007,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901303,220151999013,22015199901303007,220151999013030071,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,013,03,008,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901303,220151999013,22015199901303008,220151999013030081,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,013,03,012,1,Area rural,Mediagua,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901303,220151999013,22015199901303012,220151999013030121,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,013,03,018,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901303,220151999013,22015199901303018,220151999013030181,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,013,03,019,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901303,220151999013,22015199901303019,220151999013030191,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,013,03,027,1,Area rural,Mediagua,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901303,220151999013,22015199901303027,220151999013030271,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,013,03,028,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901303,220151999013,22015199901303028,220151999013030281,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,014,02,036,1,Area rural,Mediagua,"Camino, sendero, chaquiñan",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901402,220151999014,22015199901402036,220151999014020361,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,015,02,004,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901502,220151999015,22015199901502004,220151999015020041,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,015,02,008,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901502,220151999015,22015199901502008,220151999015020081,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,015,04,005,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901504,220151999015,22015199901504005,220151999015040051,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,016,05,010,1,Area rural,Rancho,"Camino, sendero, chaquiñan",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901605,220151999016,22015199901605010,220151999016050101,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,017,01,001,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901701,220151999017,22015199901701001,220151999017010011,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,017,01,014,1,Area rural,Choza,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901701,220151999017,22015199901701014,220151999017010141,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,017,02,004,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901702,220151999017,22015199901702004,220151999017020041,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,017,03,002,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901703,220151999017,22015199901703002,220151999017030021,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,017,03,013,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901703,220151999017,22015199901703013,220151999017030131,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,017,06,003,1,Area rural,Choza,"Camino, sendero, chaquiñan",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901706,220151999017,22015199901706003,220151999017060031,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,017,06,011,1,Area rural,Choza,"Camino, sendero, chaquiñan",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901706,220151999017,22015199901706011,220151999017060111,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,017,06,015,1,Area rural,Rancho,"Camino, sendero, chaquiñan",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901706,220151999017,22015199901706015,220151999017060151,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,51,999,018,03,006,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015199901803,220151999018,22015199901803006,220151999018030061,ORELLANA,ORELLANA,DAYUMA,0
Orellana,01,52,999,005,05,003,1,Area rural,Choza,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015299900505,220152999005,22015299900505003,220152999005050031,ORELLANA,ORELLANA,TARACOA,0
Orellana,01,52,999,005,05,004,1,Area rural,Choza,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015299900505,220152999005,22015299900505004,220152999005050041,ORELLANA,ORELLANA,TARACOA,0
Orellana,01,52,999,005,05,005,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,En construcción,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,#NULL !,0,0,#NULL !,#NULL !,22015299900505,220152999005,22015299900505005,220152999005050051,ORELLANA,ORELLANA,TARACOA,0
