PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",nro_hogares,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Napo,01,53,999,016,04,007,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,6,2 dormitorios,#NULL !,15015399901604,15015399901604007,150153999016040071,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,04,008,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,8,2 dormitorios,#NULL !,15015399901604,15015399901604008,150153999016040081,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,04,009,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,2 cuartos,Si,1,6,2 dormitorios,#NULL !,15015399901604,15015399901604009,150153999016040091,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,04,010,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,9,2 dormitorios,#NULL !,15015399901604,15015399901604010,150153999016040101,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,001,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",2 cuartos,Si,1,8,2 dormitorios,#NULL !,15015399901605,15015399901605001,150153999016050011,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,002,1,Area rural,Choza,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Palma, paja u hoja",Caña revestida o bahareque,Caña,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,"Con descarga directa al mar, río, lago o quebrada",Panel Solar,#NULL !,5,0,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1,8,Sin dormitorio,#NULL !,15015399901605,15015399901605002,150153999016050021,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,003,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,De otra forma,3 cuartos,Si,1,2,3 dormitorios,#NULL !,15015399901605,15015399901605003,150153999016050031,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,004,1,Area rural,Choza,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Palma, paja u hoja",Caña revestida o bahareque,Caña,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,"Con descarga directa al mar, río, lago o quebrada",No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,7,Sin dormitorio,#NULL !,15015399901605,15015399901605004,150153999016050041,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,005,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,5,2 dormitorios,#NULL !,15015399901605,15015399901605005,150153999016050051,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,006,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",2 cuartos,Si,1,8,2 dormitorios,#NULL !,15015399901605,15015399901605006,150153999016050061,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,007,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1,1,3 dormitorios,#NULL !,15015399901605,15015399901605007,150153999016050071,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,008,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Palma, paja u hoja",Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,"Con descarga directa al mar, río, lago o quebrada",No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,3,2 dormitorios,#NULL !,15015399901605,15015399901605008,150153999016050081,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,009,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1,5,3 dormitorios,#NULL !,15015399901605,15015399901605009,150153999016050091,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,010,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,"Con descarga directa al mar, río, lago o quebrada",No tiene,#NULL !,#NULL !,#NULL !,De otra forma,2 cuartos,Si,1,1,1 dormitorio,#NULL !,15015399901605,15015399901605010,150153999016050101,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,011,1,Area rural,Rancho,Rio /mar / lago,Ocupada con personas presentes,"Palma, paja u hoja",Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,"Con descarga directa al mar, río, lago o quebrada",No tiene,#NULL !,#NULL !,#NULL !,De otra forma,3 cuartos,Si,1,10,3 dormitorios,#NULL !,15015399901605,15015399901605011,150153999016050111,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,012,1,Area rural,Mediagua,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Panel Solar,#NULL !,2,0,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,2,2 dormitorios,#NULL !,15015399901605,15015399901605012,150153999016050121,NAPO,TENA,CHONTAPUNTA,150153999016
Napo,01,53,999,016,05,013,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1,8,4 dormitorios,#NULL !,15015399901605,15015399901605013,150153999016050131,NAPO,TENA,CHONTAPUNTA,150153999016
Orellana,01,51,999,001,01,001,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,1,0,La queman,4 cuartos,Si,1,1,2 dormitorios,#NULL !,22015199900101,22015199900101001,220151999001010011,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,01,002,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La queman,3 cuartos,Si,1,2,1 dormitorio,#NULL !,22015199900101,22015199900101002,220151999001010021,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,01,003,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,0,5,La queman,4 cuartos,Si,1,8,4 dormitorios,#NULL !,22015199900101,22015199900101003,220151999001010031,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,01,005,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,1,2 dormitorios,#NULL !,22015199900101,22015199900101005,220151999001010051,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,01,006,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tierra,Bueno,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La queman,4 cuartos,Si,1,6,4 dormitorios,#NULL !,22015199900101,22015199900101006,220151999001010061,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,001,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Ladrillo o cemento,Regular,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,La queman,6 cuartos,Si,1,4,3 dormitorios,#NULL !,22015199900102,22015199900102001,220151999001020011,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,002,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,La queman,2 cuartos,Si,1,9,2 dormitorios,#NULL !,22015199900102,22015199900102002,220151999001020021,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,003,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Bueno,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,1,2,La queman,2 cuartos,Si,1,6,1 dormitorio,#NULL !,22015199900102,22015199900102003,220151999001020031,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,004,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La queman,4 cuartos,Si,1,5,2 dormitorios,#NULL !,22015199900102,22015199900102004,220151999001020041,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,005,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Malo,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La queman,4 cuartos,Si,1,2,2 dormitorios,#NULL !,22015199900102,22015199900102005,220151999001020051,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,007,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,0,3,La queman,3 cuartos,Si,1,9,2 dormitorios,#NULL !,22015199900102,22015199900102007,220151999001020071,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,008,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,De otra forma,2 cuartos,Si,1,2,1 dormitorio,#NULL !,22015199900102,22015199900102008,220151999001020081,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,009,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900102,22015199900102009,220151999001020091,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,011,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,3,La queman,2 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199900102,22015199900102011,220151999001020111,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,013,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,0,1,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900102,22015199900102013,220151999001020131,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,015,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,4 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900102,22015199900102015,220151999001020151,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,016,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Ladrillo o cemento,Malo,Regular,Malo,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1,3,3 dormitorios,#NULL !,22015199900102,22015199900102016,220151999001020161,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,017,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,La queman,3 cuartos,Si,1,5,2 dormitorios,#NULL !,22015199900102,22015199900102017,220151999001020171,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,018,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900102,22015199900102018,220151999001020181,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,021,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1,5,1 dormitorio,#NULL !,22015199900102,22015199900102021,220151999001020211,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,022,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La arrojan en terreno baldío o quebrada,7 cuartos,Si,1,4,7 dormitorios,#NULL !,22015199900102,22015199900102022,220151999001020221,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,023,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Ladrillo o cemento,Bueno,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,4 cuartos,Si,1,4,4 dormitorios,#NULL !,22015199900102,22015199900102023,220151999001020231,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,024,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tierra,Malo,Malo,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,No tiene medidor,0,2,Por carro recolector,2 cuartos,Si,1,2,1 dormitorio,#NULL !,22015199900102,22015199900102024,220151999001020241,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,025,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Bueno,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,4 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900102,22015199900102025,220151999001020251,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,026,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Ladrillo o cemento,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,4 cuartos,Si,1,5,3 dormitorios,#NULL !,22015199900102,22015199900102026,220151999001020261,ORELLANA,ORELLANA,DAYUMA,220151999001
