PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",Cuantos grupos de personas(hogares) duermen en su vivienda y cocinan los alimentos por separado incluya su hogar,nro_hogares,Total de personas de la vivienda,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id,hog_id
Orellana,01,51,999,005,03,026,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tierra,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La entierran,2 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199900503,22015199900503026,ORELLANA,ORELLANA,DAYUMA,220151999005,220151999005030261
Orellana,01,51,999,009,02,005,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,4 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015199900902,22015199900902005,ORELLANA,ORELLANA,DAYUMA,220151999009,220151999009020051
Orellana,01,51,999,009,03,001,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199900903,22015199900903001,ORELLANA,ORELLANA,DAYUMA,220151999009,220151999009030011
Orellana,01,51,999,010,01,006,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,6,6,Por carro recolector,7 cuartos,Si,1 hogares,1,10,10,Sin dormitorio,#NULL !,22015199901001,22015199901001006,ORELLANA,ORELLANA,DAYUMA,220151999010,220151999010010061
Orellana,01,51,999,010,02,006,1,Area rural,Otra vivienda particular,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Otros materiales,Otros materiales,Otros materiales,Malo,Malo,Malo,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,0,2,De otra forma,3 cuartos,Si,1 hogares,1,10,10,3 dormitorios,#NULL !,22015199901002,22015199901002006,ORELLANA,ORELLANA,DAYUMA,220151999010,220151999010020061
Orellana,01,51,999,010,02,014,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La queman,4 cuartos,Si,1 hogares,1,10,10,3 dormitorios,#NULL !,22015199901002,22015199901002014,ORELLANA,ORELLANA,DAYUMA,220151999010,220151999010020141
Orellana,01,51,999,013,01,019,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La queman,3 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199901301,22015199901301019,ORELLANA,ORELLANA,DAYUMA,220151999013,220151999013010191
Orellana,01,51,999,015,06,004,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199901506,22015199901506004,ORELLANA,ORELLANA,DAYUMA,220151999015,220151999015060041
Orellana,01,51,999,018,03,014,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Teja,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015199901803,22015199901803014,ORELLANA,ORELLANA,DAYUMA,220151999018,220151999018030141
Orellana,01,52,999,005,01,004,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,"Palma, paja u hoja",Madera,Tabla sin tratar,Regular,Malo,Malo,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,5 cuartos,Si,1 hogares,1,10,10,3 dormitorios,#NULL !,22015299900501,22015299900501004,ORELLANA,ORELLANA,TARACOA,220152999005,220152999005010041
Orellana,01,52,999,005,05,016,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,De red pública,No recibe agua por tubería sino por otros medios,No tiene,Generador de luz (Planta eléctrica),#NULL !,2,0,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1 hogares,1,10,10,3 dormitorios,#NULL !,22015299900505,22015299900505016,ORELLANA,ORELLANA,TARACOA,220152999005,220152999005050161
Orellana,01,56,999,002,01,014,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,No tiene medidor,2,1,La queman,2 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015699900201,22015699900201014,ORELLANA,ORELLANA,GARCIA MORENO,220156999002,220156999002010141
Orellana,01,57,999,002,05,024,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,4 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015799900205,22015799900205024,ORELLANA,ORELLANA,INES ARANGO,220157999002,220157999002050241
Orellana,01,57,999,002,13,004,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1 hogares,1,10,10,3 dormitorios,#NULL !,22015799900213,22015799900213004,ORELLANA,ORELLANA,INES ARANGO,220157999002,220157999002130041
Orellana,01,57,999,002,13,010,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,7 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015799900213,22015799900213010,ORELLANA,ORELLANA,INES ARANGO,220157999002,220157999002130101
Orellana,01,57,999,003,01,001,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,"Asbesto (Eternit, Eurolit)",Ladrillo o bloque,"Cerámica, baldosa, vinil o mármol",Regular,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1 hogares,1,10,10,Sin dormitorio,#NULL !,22015799900301,22015799900301001,ORELLANA,ORELLANA,INES ARANGO,220157999003,220157999003010011
Orellana,01,57,999,004,03,004,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,5 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015799900403,22015799900403004,ORELLANA,ORELLANA,INES ARANGO,220157999004,220157999004030041
Orellana,01,57,999,005,05,006,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015799900505,22015799900505006,ORELLANA,ORELLANA,INES ARANGO,220157999005,220157999005050061
Orellana,01,57,999,005,09,021,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015799900509,22015799900509021,ORELLANA,ORELLANA,INES ARANGO,220157999005,220157999005090211
Orellana,01,58,999,004,01,004,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1 hogares,1,10,10,3 dormitorios,#NULL !,22015899900401,22015899900401004,ORELLANA,ORELLANA,LA BELLEZA,220158999004,220158999004010041
Orellana,01,58,999,006,01,010,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1 hogares,1,10,10,Sin dormitorio,#NULL !,22015899900601,22015899900601010,ORELLANA,ORELLANA,LA BELLEZA,220158999006,220158999006010101
Orellana,01,58,999,006,04,004,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,0,3,La entierran,3 cuartos,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015899900604,22015899900604004,ORELLANA,ORELLANA,LA BELLEZA,220158999006,220158999006040041
Orellana,01,58,999,006,06,012,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1 hogares,1,10,10,Sin dormitorio,#NULL !,22015899900606,22015899900606012,ORELLANA,ORELLANA,LA BELLEZA,220158999006,220158999006060121
Orellana,01,58,999,006,06,015,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1 hogares,1,10,10,Sin dormitorio,#NULL !,22015899900606,22015899900606015,ORELLANA,ORELLANA,LA BELLEZA,220158999006,220158999006060151
Orellana,01,58,999,007,04,004,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015899900704,22015899900704004,ORELLANA,ORELLANA,LA BELLEZA,220158999007,220158999007040041
Orellana,01,58,999,007,04,009,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015899900704,22015899900704009,ORELLANA,ORELLANA,LA BELLEZA,220158999007,220158999007040091
Orellana,01,58,999,009,03,014,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,5 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015899900903,22015899900903014,ORELLANA,ORELLANA,LA BELLEZA,220158999009,220158999009030141
Orellana,01,58,999,011,03,005,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015899901103,22015899901103005,ORELLANA,ORELLANA,LA BELLEZA,220158999011,220158999011030051
Orellana,01,58,999,013,02,003,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La entierran,5 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015899901302,22015899901302003,ORELLANA,ORELLANA,LA BELLEZA,220158999013,220158999013020031
Orellana,01,58,999,013,02,006,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,4 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015899901302,22015899901302006,ORELLANA,ORELLANA,LA BELLEZA,220158999013,220158999013020061
Orellana,01,51,999,002,03,008,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1 hogares,1,11,11,3 dormitorios,#NULL !,22015199900203,22015199900203008,ORELLANA,ORELLANA,DAYUMA,220151999002,220151999002030081
Orellana,01,51,999,003,01,002,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal","Por tubería fuera del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,1,Por carro recolector,1 cuarto,Si,1 hogares,1,11,11,1 dormitorio,#NULL !,22015199900301,22015199900301002,ORELLANA,ORELLANA,DAYUMA,220151999003,220151999003010021
Orellana,01,51,999,005,03,022,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,No tiene,#NULL !,#NULL !,#NULL !,La queman,4 cuartos,Si,1 hogares,1,11,11,3 dormitorios,#NULL !,22015199900503,22015199900503022,ORELLANA,ORELLANA,DAYUMA,220151999005,220151999005030221
Orellana,01,51,999,006,01,091,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1 hogares,1,11,11,4 dormitorios,#NULL !,22015199900601,22015199900601091,ORELLANA,ORELLANA,DAYUMA,220151999006,220151999006010911
Orellana,01,51,999,008,01,016,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1 hogares,1,11,11,3 dormitorios,#NULL !,22015199900801,22015199900801016,ORELLANA,ORELLANA,DAYUMA,220151999008,220151999008010161
Orellana,01,58,999,005,01,002,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1 hogares,1,11,11,1 dormitorio,#NULL !,22015899900501,22015899900501002,ORELLANA,ORELLANA,LA BELLEZA,220158999005,220158999005010021
Orellana,01,58,999,007,03,019,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,1 cuarto,Si,1 hogares,1,11,11,1 dormitorio,#NULL !,22015899900703,22015899900703019,ORELLANA,ORELLANA,LA BELLEZA,220158999007,220158999007030191
Orellana,01,58,999,011,01,007,1,Area rural,Mediagua,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1 hogares,1,11,11,1 dormitorio,#NULL !,22015899901101,22015899901101007,ORELLANA,ORELLANA,LA BELLEZA,220158999011,220158999011010071
Orellana,01,58,999,014,03,016,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1 hogares,1,11,11,2 dormitorios,#NULL !,22015899901403,22015899901403016,ORELLANA,ORELLANA,LA BELLEZA,220158999014,220158999014030161
Orellana,01,51,999,005,02,017,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Hormigón,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal","Por tubería fuera del edificio, lote o terreno",Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,8,0,Por carro recolector,5 cuartos,Si,1 hogares,1,12,12,5 dormitorios,#NULL !,22015199900502,22015199900502017,ORELLANA,ORELLANA,DAYUMA,220151999005,220151999005020171
Orellana,01,51,999,009,03,005,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,4 cuartos,Si,1 hogares,1,12,12,4 dormitorios,#NULL !,22015199900903,22015199900903005,ORELLANA,ORELLANA,DAYUMA,220151999009,220151999009030051
