PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",Cuantos grupos de personas(hogares) duermen en su vivienda y cocinan los alimentos por separado incluya su hogar,nro_hogares,Total de personas de la vivienda,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id,hog_id
Orellana,01,51,999,011,04,003,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,0,Por carro recolector,3 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199901104,22015199901104003,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011040031
Orellana,01,51,999,011,04,049,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Teja,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199901104,22015199901104049,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011040491
Orellana,01,51,999,016,04,008,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1 hogares,1,10,10,3 dormitorios,#NULL !,22015199901604,22015199901604008,ORELLANA,ORELLANA,DAYUMA,220151999016,220151999016040081
Orellana,01,51,999,018,01,003,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,No tiene medidor,3,0,"La arrojan al río, acequia o canal",1 cuarto,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015199901801,22015199901801003,ORELLANA,ORELLANA,DAYUMA,220151999018,220151999018010031
Orellana,01,51,999,018,01,041,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199901801,22015199901801041,ORELLANA,ORELLANA,DAYUMA,220151999018,220151999018010411
Orellana,01,51,999,018,01,045,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199901801,22015199901801045,ORELLANA,ORELLANA,DAYUMA,220151999018,220151999018010451
Orellana,01,51,999,018,01,054,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199901801,22015199901801054,ORELLANA,ORELLANA,DAYUMA,220151999018,220151999018010541
Orellana,01,51,999,018,05,011,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,No tiene,#NULL !,#NULL !,#NULL !,La entierran,3 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015199901805,22015199901805011,ORELLANA,ORELLANA,DAYUMA,220151999018,220151999018050111
Orellana,01,58,999,007,02,006,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,1,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015899900702,22015899900702006,ORELLANA,ORELLANA,LA BELLEZA,220158999007,220158999007020061
Orellana,01,58,999,007,02,015,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015899900702,22015899900702015,ORELLANA,ORELLANA,LA BELLEZA,220158999007,220158999007020151
Orellana,01,58,999,013,01,001,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,Por carro recolector,4 cuartos,Si,1 hogares,1,10,10,4 dormitorios,#NULL !,22015899901301,22015899901301001,ORELLANA,ORELLANA,LA BELLEZA,220158999013,220158999013010011
Orellana,01,58,999,013,01,033,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015899901301,22015899901301033,ORELLANA,ORELLANA,LA BELLEZA,220158999013,220158999013010331
Orellana,01,58,999,013,05,006,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1 hogares,1,10,10,3 dormitorios,1,22015899901305,22015899901305006,ORELLANA,ORELLANA,LA BELLEZA,220158999013,220158999013050061
Orellana,01,58,999,013,06,001,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,2 cuartos,Si,1 hogares,1,10,10,1 dormitorio,#NULL !,22015899901306,22015899901306001,ORELLANA,ORELLANA,LA BELLEZA,220158999013,220158999013060011
Orellana,01,58,999,013,06,011,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",3 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015899901306,22015899901306011,ORELLANA,ORELLANA,LA BELLEZA,220158999013,220158999013060111
Orellana,01,58,999,015,01,007,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Hormigón,Ladrillo o cemento,Bueno,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1 hogares,1,10,10,2 dormitorios,#NULL !,22015899901501,22015899901501007,ORELLANA,ORELLANA,LA BELLEZA,220158999015,220158999015010071
Orellana,01,51,999,009,04,027,1,Area rural,Rancho,Rio /mar / lago,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1 hogares,1,11,11,3 dormitorios,#NULL !,22015199900904,22015199900904027,ORELLANA,ORELLANA,DAYUMA,220151999009,220151999009040271
Orellana,01,51,999,018,01,015,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,7 cuartos,Si,1 hogares,1,11,11,5 dormitorios,#NULL !,22015199901801,22015199901801015,ORELLANA,ORELLANA,DAYUMA,220151999018,220151999018010151
Orellana,01,58,999,013,05,009,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1 hogares,1,11,11,1 dormitorio,#NULL !,22015899901305,22015899901305009,ORELLANA,ORELLANA,LA BELLEZA,220158999013,220158999013050091
Orellana,01,58,999,015,01,023,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Bueno,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1 hogares,1,11,11,2 dormitorios,#NULL !,22015899901501,22015899901501023,ORELLANA,ORELLANA,LA BELLEZA,220158999015,220158999015010231
Orellana,01,51,999,018,01,026,1,Area rural,Choza,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,"Palma, paja u hoja",Caña no revestida,Tierra,Malo,Malo,Regular,De pozo,"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,1 cuarto,Si,1 hogares,1,12,12,Sin dormitorio,#NULL !,22015199901801,22015199901801026,ORELLANA,ORELLANA,DAYUMA,220151999018,220151999018010261
Orellana,01,54,999,005,04,005,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1 hogares,1,12,12,2 dormitorios,#NULL !,22015499900504,22015499900504005,ORELLANA,ORELLANA,EL DORADO,220154999005,220154999005040051
Orellana,01,51,999,018,01,049,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La arrojan en terreno baldío o quebrada,5 cuartos,Si,1 hogares,1,13,13,4 dormitorios,#NULL !,22015199901801,22015199901801049,ORELLANA,ORELLANA,DAYUMA,220151999018,220151999018010491
Orellana,01,58,999,013,06,004,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,4 cuartos,Si,1 hogares,1,13,13,3 dormitorios,#NULL !,22015899901306,22015899901306004,ORELLANA,ORELLANA,LA BELLEZA,220158999013,220158999013060041
Orellana,01,58,999,015,02,010,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Regular,Bueno,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,4 cuartos,Si,1 hogares,1,13,13,4 dormitorios,#NULL !,22015899901502,22015899901502010,ORELLANA,ORELLANA,LA BELLEZA,220158999015,220158999015020101
Orellana,01,51,999,018,01,001,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La queman,3 cuartos,Si,1 hogares,1,14,14,2 dormitorios,#NULL !,22015199901801,22015199901801001,ORELLANA,ORELLANA,DAYUMA,220151999018,220151999018010011
Orellana,01,51,999,018,05,012,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Generador de luz (Planta eléctrica),#NULL !,2,0,La arrojan en terreno baldío o quebrada,3 cuartos,Si,1 hogares,1,14,14,2 dormitorios,#NULL !,22015199901805,22015199901805012,ORELLANA,ORELLANA,DAYUMA,220151999018,220151999018050121
Orellana,01,51,999,007,01,004,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,3 cuartos,Si,1 hogares,1,1 persona,1,3 dormitorios,#NULL !,22015199900701,22015199900701004,ORELLANA,ORELLANA,DAYUMA,220151999007,220151999007010041
Orellana,01,51,999,007,01,025,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Hormigón,"Cerámica, baldosa, vinil o mármol",Bueno,Bueno,Bueno,Otro (Agua lluvia/albarrada),"Por tubería fuera del edificio, lote o terreno","Con descarga directa al mar, río, lago o quebrada",Red de empresa eléctrica de servicio público,De uso exclusivo,19,8,La queman,4 cuartos,Si,1 hogares,1,1 persona,1,2 dormitorios,#NULL !,22015199900701,22015199900701025,ORELLANA,ORELLANA,DAYUMA,220151999007,220151999007010251
Orellana,01,51,999,007,01,056,1,Area rural,Rancho,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,2 cuartos,Si,1 hogares,1,1 persona,1,1 dormitorio,#NULL !,22015199900701,22015199900701056,ORELLANA,ORELLANA,DAYUMA,220151999007,220151999007010561
Orellana,01,51,999,009,04,005,1,Area rural,Rancho,Rio /mar / lago,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1 hogares,1,1 persona,1,Sin dormitorio,#NULL !,22015199900904,22015199900904005,ORELLANA,ORELLANA,DAYUMA,220151999009,220151999009040051
Orellana,01,51,999,009,04,007,1,Area rural,Rancho,Rio /mar / lago,Ocupada con personas presentes,"Palma, paja u hoja",Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1 hogares,1,1 persona,1,1 dormitorio,#NULL !,22015199900904,22015199900904007,ORELLANA,ORELLANA,DAYUMA,220151999009,220151999009040071
Orellana,01,51,999,009,04,034,1,Area rural,Rancho,Rio /mar / lago,Ocupada con personas presentes,"Palma, paja u hoja",Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,"La arrojan al río, acequia o canal",1 cuarto,Si,1 hogares,1,1 persona,1,1 dormitorio,#NULL !,22015199900904,22015199900904034,ORELLANA,ORELLANA,DAYUMA,220151999009,220151999009040341
Orellana,01,51,999,011,01,005,1,Area rural,Mediagua,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1 hogares,1,1 persona,1,1 dormitorio,#NULL !,22015199901101,22015199901101005,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011010051
Orellana,01,51,999,011,01,009,1,Area rural,Mediagua,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,Por carro recolector,2 cuartos,Si,1 hogares,1,1 persona,1,1 dormitorio,#NULL !,22015199901101,22015199901101009,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011010091
Orellana,01,51,999,011,02,003,1,Area rural,Mediagua,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,1,0,Por carro recolector,1 cuarto,Si,1 hogares,1,1 persona,1,1 dormitorio,#NULL !,22015199901102,22015199901102003,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011020031
Orellana,01,51,999,011,03,003,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,No tiene medidor,0,7,Por carro recolector,1 cuarto,Si,1 hogares,1,1 persona,1,Sin dormitorio,#NULL !,22015199901103,22015199901103003,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011030031
Orellana,01,51,999,011,03,033,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tierra,Malo,Bueno,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,1 cuarto,Si,1 hogares,1,1 persona,1,Sin dormitorio,#NULL !,22015199901103,22015199901103033,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011030331
Orellana,01,51,999,011,04,036,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Bueno,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,2 cuartos,Si,1 hogares,1,1 persona,1,1 dormitorio,#NULL !,22015199901104,22015199901104036,ORELLANA,ORELLANA,DAYUMA,220151999011,220151999011040361
Orellana,01,51,999,016,02,005,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1 hogares,1,1 persona,1,1 dormitorio,#NULL !,22015199901602,22015199901602005,ORELLANA,ORELLANA,DAYUMA,220151999016,220151999016020051
