PROVINCIA	CANTON	PARROQUIA	ZONA	SECTOR	MANZANA	No. DE VIVIENDA	No. DE HOGAR	Area urbana o rural	Secuencial de Hogar	Del total de cuartos de este hogar, Cuantos son exclusivos para dormir	Ningun Dormitorio	Tiene este hogar cuarto o espacio exclusivo para cocinar	El servicio higi‚nico o escusado que dispone el hogar es	Dispone este hogar de espacio con instalaciones y/o ducha para ba¤arse	Cual es el principal combustible o energ¡a que utiliza este hogar para cocinar	Principalmente, el agua que toman los miembros del hogar	Dispone este hogar de servicio de telefono convencional	Algun miembro de este hogar dispone de servicio de telefono celular	Dispone este hogar de servicio de internet	Dispone este hogar de computadora	Dispone este hogar de servicio de televisi¢n por cable	Cuanto fue el £ltimo pago que realiz¢ el hogar por concepto de luz el‚ctrica	No paga la luz electrica	Alg£n miembro de este hogar se traslada fuera de esta ciudad o parroquia rural para trabajar	Cuantos se trasladan fuera de esta ciudad o parroquia para trabajar	Alg£n miembro de este hogar se traslada fuera de esta ciudad o parroquia rural para estudiar	Cuantos se trasladan fuera de la ciudad o parroquia rural para estudiar	La vivienda que ocupa este hogar es	Durante el a¤o 2010, Alguna persona de este hogar recibi¢ dinero por parte de familiares o amigos que viven en el exterior	A partir del £ltimo censo de poblaci¢n y vivienda(Noviembre 2001) una o mas personas que viv¡an en este hogar viajaron a otro pais y todavia no regresan para quedarse definitivamente	Cuantos personas viajaron al Exterior	Total_Personas	Total_Hombres	Total_Mujeres	Identificador de manzana	sec_id	viv_id	hog_id	Nombre de provincia	Nombre de cant¢n	Nombre de parroquia
Orellana	01	51	999	007	01	018	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	La hierven	No	No	No	No	No	28	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	5	2	3	22015199900701	220151999007	22015199900701018	220151999007010181	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	021	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	No	No	No	10	#NULL !	No	#NULL !	Si	2	Propia y totalmente pagada	No	No	#NULL !	6	5	1	22015199900701	220151999007	22015199900701021	220151999007010211	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	023	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	Compartido con varios hogares	No tiene	Gas (tanque o cilindro)	La hierven	No	Si	No	No	No	6	#NULL !	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	3	1	2	22015199900701	220151999007	22015199900701023	220151999007010231	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	024	1	Area rural	Hogar 1	2 dormitorios	#NULL !	No	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	Le ponen cloro	No	Si	No	No	No	6	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	3	0	3	22015199900701	220151999007	22015199900701024	220151999007010241	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	025	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	Compran agua purificada	No	Si	No	Si	No	6	#NULL !	No	#NULL !	No	#NULL !	Por servicios	No	No	#NULL !	1	1	0	22015199900701	220151999007	22015199900701025	220151999007010251	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	026	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	Le ponen cloro	No	Si	No	No	No	14	#NULL !	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	6	4	2	22015199900701	220151999007	22015199900701026	220151999007010261	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	027	1	Area rural	Hogar 1	2 dormitorios	#NULL !	No	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	No	No	No	No	7	#NULL !	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	6	3	3	22015199900701	220151999007	22015199900701027	220151999007010271	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	028	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	Le ponen cloro	No	Si	No	No	No	11	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	8	5	3	22015199900701	220151999007	22015199900701028	220151999007010281	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	029	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	No	Si	No	8	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	4	2	2	22015199900701	220151999007	22015199900701029	220151999007010291	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	030	1	Area rural	Hogar 1	0	0	Si	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	5	4	1	22015199900701	220151999007	22015199900701030	220151999007010301	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	032	1	Area rural	Hogar 1	2 dormitorios	#NULL !	No	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	2	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	6	2	4	22015199900701	220151999007	22015199900701032	220151999007010321	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	033	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	La hierven	No	No	No	No	No	140	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	6	4	2	22015199900701	220151999007	22015199900701033	220151999007010331	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	034	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	La hierven	No	Si	No	No	No	8	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	5	3	2	22015199900701	220151999007	22015199900701034	220151999007010341	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	037	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	No	No	No	3	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	5	1	4	22015199900701	220151999007	22015199900701037	220151999007010371	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	039	1	Area rural	Hogar 1	4 dormitorios	#NULL !	No	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	No	No	No	No	9999	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	10	4	6	22015199900701	220151999007	22015199900701039	220151999007010391	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	040	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	Si	No	Si	No	15	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	6	2	4	22015199900701	220151999007	22015199900701040	220151999007010401	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	043	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	Compartido con varios hogares	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	No	No	No	#NULL !	2	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	2	1	1	22015199900701	220151999007	22015199900701043	220151999007010431	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	044	1	Area rural	Hogar 1	1 dormitorio	#NULL !	No	Compartido con varios hogares	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	No	No	No	#NULL !	2	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	3	1	2	22015199900701	220151999007	22015199900701044	220151999007010441	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	045	1	Area rural	Hogar 1	2 dormitorios	#NULL !	No	Compartido con varios hogares	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	Si	No	No	No	22	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	5	3	2	22015199900701	220151999007	22015199900701045	220151999007010451	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	046	1	Area rural	Hogar 1	1 dormitorio	#NULL !	No	Compartido con varios hogares	No tiene	Le¤a, carb¢n	Le ponen cloro	No	Si	No	No	No	#NULL !	2	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	4	1	3	22015199900701	220151999007	22015199900701046	220151999007010461	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	050	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	La hierven	No	Si	No	No	No	5	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	3	1	2	22015199900701	220151999007	22015199900701050	220151999007010501	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	055	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	No	No	No	6	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	6	3	3	22015199900701	220151999007	22015199900701055	220151999007010551	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	056	1	Area rural	Hogar 1	1 dormitorio	#NULL !	No	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	1	1	0	22015199900701	220151999007	22015199900701056	220151999007010561	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	057	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	No	No	No	7	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	Si	1 Persona	7	4	3	22015199900701	220151999007	22015199900701057	220151999007010571	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	061	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	Si	Si	Si	No	6	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	6	3	3	22015199900701	220151999007	22015199900701061	220151999007010611	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	063	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	Le ponen cloro	No	Si	No	No	No	73	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	4	2	2	22015199900701	220151999007	22015199900701063	220151999007010631	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	064	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	Le ponen cloro	No	Si	No	No	No	5	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	4	2	2	22015199900701	220151999007	22015199900701064	220151999007010641	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	007	01	065	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	De uso exclusivo del hogar	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	Si	Si	Si	9	#NULL !	No	#NULL !	Si	3	Propia y totalmente pagada	No	No	#NULL !	6	3	3	22015199900701	220151999007	22015199900701065	220151999007010651	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	001	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	Si	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	5	3	2	22015199900904	220151999009	22015199900904001	220151999009040011	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	002	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	Compartido con varios hogares	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	Si	No	No	No	#NULL !	2	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	5	3	2	22015199900904	220151999009	22015199900904002	220151999009040021	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	004	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	Si	2	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	3	2	1	22015199900904	220151999009	22015199900904004	220151999009040041	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	005	1	Area rural	Hogar 1	0	0	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	1	1	0	22015199900904	220151999009	22015199900904005	220151999009040051	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	006	1	Area rural	Hogar 1	0	0	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	7	2	5	22015199900904	220151999009	22015199900904006	220151999009040061	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	007	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	1	1	0	22015199900904	220151999009	22015199900904007	220151999009040071	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	008	1	Area rural	Hogar 1	0	0	No	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	4	1	3	22015199900904	220151999009	22015199900904008	220151999009040081	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	009	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	4	2	2	22015199900904	220151999009	22015199900904009	220151999009040091	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	010	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	10	5	5	22015199900904	220151999009	22015199900904010	220151999009040101	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	011	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	7	4	3	22015199900904	220151999009	22015199900904011	220151999009040111	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	012	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	7	4	3	22015199900904	220151999009	22015199900904012	220151999009040121	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	013	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	7	4	3	22015199900904	220151999009	22015199900904013	220151999009040131	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	014	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	7	4	3	22015199900904	220151999009	22015199900904014	220151999009040141	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	015	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	Si	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	8	6	2	22015199900904	220151999009	22015199900904015	220151999009040151	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	017	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	2	1	1	22015199900904	220151999009	22015199900904017	220151999009040171	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	020	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	Si	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	10	5	5	22015199900904	220151999009	22015199900904020	220151999009040201	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	022	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	6	3	3	22015199900904	220151999009	22015199900904022	220151999009040221	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	023	1	Area rural	Hogar 1	2 dormitorios	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	3	2	1	22015199900904	220151999009	22015199900904023	220151999009040231	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	024	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	5	3	2	22015199900904	220151999009	22015199900904024	220151999009040241	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	025	1	Area rural	Hogar 1	4 dormitorios	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	8	4	4	22015199900904	220151999009	22015199900904025	220151999009040251	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	026	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Prestada o cedida (no pagada)	No	No	#NULL !	2	1	1	22015199900904	220151999009	22015199900904026	220151999009040261	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	027	1	Area rural	Hogar 1	3 dormitorios	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	11	5	6	22015199900904	220151999009	22015199900904027	220151999009040271	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	034	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	No	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia (regalada, donada, heredada o por posesi¢n)	No	No	#NULL !	1	1	0	22015199900904	220151999009	22015199900904034	220151999009040341	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	009	04	035	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Le¤a, carb¢n	La beben tal como llega al hogar	No	Si	No	No	No	#NULL !	#NULL !	No	#NULL !	Si	2	Prestada o cedida (no pagada)	No	No	#NULL !	10	6	4	22015199900904	220151999009	22015199900904035	220151999009040351	ORELLANA	ORELLANA	DAYUMA
Orellana	01	51	999	011	01	001	1	Area rural	Hogar 1	1 dormitorio	#NULL !	Si	No tiene	No tiene	Gas (tanque o cilindro)	La beben tal como llega al hogar	No	Si	No	No	No	#NULL !	#NULL !	No	#NULL !	No	#NULL !	Propia y totalmente pagada	No	No	#NULL !	5	2	3	22015199901101	220151999011	22015199901101001	220151999011010011	ORELLANA	ORELLANA	DAYUMA
